"occasion","date","tag","species","section","length","weight","recap","mortality","fin_recap","f_occasion","julian"
1,2020-11-07,"ID900.226001167821","creek_chub",29,81,5.2,"n","n","n","occ1",18573
2,2021-02-21,"ID900.226001167821","creek_chub",30,83,6,"y","n","n","occ2",18679
1,2020-11-04,"ID900.226001167822","creek_chub",20,117,16.7,"n","n","n","occ1",18570
3,2021-05-16,"ID900.226001167822","creek_chub",20,137,26.9,"y","n","n","occ3",18763
1,2020-11-07,"ID900.226001167823","bluehead_chub",27,92,8.9,"n","n","n","occ1",18573
2,2021-02-21,"ID900.226001167823","bluehead_chub",42,92,9.4,"y","n","n","occ2",18679
1,2020-11-07,"ID900.226001167824","creek_chub",32,93,8.5,"n","n","n","occ1",18573
1,2020-11-04,"ID900.226001167825","bluehead_chub",15,81,5.1,"n","n","n","occ1",18570
4,2021-08-13,"ID900.226001167825","bluehead_chub",10,115,16.1,"y","n","n","occ4",18852
5,2021-11-13,"ID900.226001167825","bluehead_chub",12,122,16.6,"y","n","n","occ5",18944
1,2020-11-08,"ID900.226001167826","bluegill",34,77,6.3,"n","n","n","occ1",18574
3,2021-05-16,"ID900.226001167826","bluegill",23,86,9.1,"y","n","n","occ3",18763
5,2021-11-13,"ID900.226001167826","bluegill",6,102,16.1,"y","n","n","occ5",18944
1,2020-11-07,"ID900.226001167827","green_sunfish",30,98,15.4,"n","n","n","occ1",18573
3,2021-05-16,"ID900.226001167827","green_sunfish",30,114,30.5,"y","n","n","occ3",18763
1,2020-11-04,"ID900.226001167828","green_sunfish",13,79,7.8,"n","n","n","occ1",18570
2,2021-02-06,"ID900.226001167828","green_sunfish",14,80,7.1,"y","n","n","occ2",18664
4,2021-08-13,"ID900.226001167828","green_sunfish",13,110,23.5,"y","n","n","occ4",18852
1,2020-11-04,"ID900.226001167829","bluehead_chub",16,86,7.3,"n","n","n","occ1",18570
5,2021-11-14,"ID900.226001167829","bluehead_chub",37,136,27.9,"y","n","n","occ5",18945
1,2020-11-04,"ID900.226001167830","redbreast_sunfish",12,67,5.1,"n","n","n","occ1",18570
1,2020-11-04,"ID900.226001167832","redbreast_sunfish",13,106,18.2,"n","n","n","occ1",18570
1,2020-11-08,"ID900.226001167833","redbreast_sunfish",35,73,6.4,"n","n","n","occ1",18574
1,2020-11-07,"ID900.226001167834","bluehead_chub",30,74,4,"n","n","n","occ1",18573
2,2021-02-21,"ID900.226001167834","bluehead_chub",29,72,5,"y","n","n","occ2",18679
1,2020-11-04,"ID900.226001167835","creek_chub",15,91,7.2,"n","n","n","occ1",18570
1,2020-11-08,"ID900.226001167836","bluegill",35,83,8.4,"n","n","n","occ1",18574
1,2020-11-07,"ID900.226001167837","green_sunfish",32,82,9.4,"n","n","n","occ1",18573
1,2020-11-07,"ID900.226001167838","green_sunfish",31,80,7.7,"n","n","n","occ1",18573
1,2020-11-07,"ID900.226001167839","creek_chub",32,90,6.8,"n","n","n","occ1",18573
2,2021-02-21,"ID900.226001167839","creek_chub",38,91,8.1,"y","n","n","occ2",18679
1,2020-11-07,"ID900.226001167840","green_sunfish",32,75,6.1,"n","n","n","occ1",18573
1,2020-11-08,"ID900.226001167841","bluehead_chub",35,112,13.3,"n","n","n","occ1",18574
3,2021-05-15,"ID900.226001167841","bluehead_chub",12,127,25.5,"y","n","n","occ3",18762
5,2021-11-13,"ID900.226001167841","bluehead_chub",12,145,28.3,"y","n","n","occ5",18944
7,2022-05-03,"ID900.226001167841","bluehead_chub",12,150,38.4,"y","n","n","occ7",19115
1,2020-11-04,"ID900.226001167842","creek_chub",19,117,16.9,"n","n","n","occ1",18570
4,2021-08-14,"ID900.226001167842","creek_chub",20,124,20.8,"y","n","n","occ4",18853
1,2020-11-04,"ID900.226001167843","creek_chub",20,96,10,"n","n","n","occ1",18570
1,2020-11-04,"ID900.226001167844","bluegill",12,73,6.1,"n","n","n","occ1",18570
3,2021-05-16,"ID900.226001167844","bluegill",35,82,9.9,"y","n","n","occ3",18763
1,2020-11-04,"ID900.226001167845","redbreast_sunfish",12,94,13.1,"n","n","n","occ1",18570
1,2020-11-04,"ID900.226001167846","creek_chub",20,96,8.7,"n","n","n","occ1",18570
1,2020-11-08,"ID900.226001167847","bluegill",37,67,4.7,"n","n","n","occ1",18574
1,2020-11-04,"ID900.226001167848","striped_jumprock",12,150,36.9,"n","n","n","occ1",18570
